Metal,Substrate,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean SpaceGroupNumber,Me_MagpieData mean GSmagmom,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Sn0.952Ti0.048,Sr1F2,140.008,1.93984,9.616,143.544,1.08E-06,385.6666667,0.666666667,1273,28
Sn0.952Ti0.048,Sr1F2,140.008,1.93984,9.616,143.544,1.08E-06,385.6666667,0.666666667,1373,88
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1173,87.2
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1223,82.4
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1273,90.7
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1323,108.7
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1373,116.6
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1173,82.7
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1223,79.7
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1273,88
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1323,105.6
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1373,113.4
Sn0.98Ti0.02,Mg1F2,139.42,1.9516,9.84,142.06,4.51E-07,343.3333333,0.666666667,973,56
Sn0.98Ti0.02,Mg1F2,139.42,1.9516,9.84,142.06,4.51E-07,343.3333333,0.666666667,1173,107
Sn0.98Ti0.02,Ba1F2,139.42,1.9516,9.84,142.06,4.51E-07,369,0.666666667,973,64
Sn0.98Ti0.02,Ba1F2,139.42,1.9516,9.84,142.06,4.51E-07,369,0.666666667,1173,31
Sn0.98Ti0.02,Ba1F2,139.42,1.9516,9.84,142.06,4.51E-07,369,0.666666667,1273,67
Sn0.98Ti0.02,Ca1F2,139.42,1.9516,9.84,142.06,4.51E-07,407.3333333,0.666666667,973,97
Sn0.98Ti0.02,Ca1F2,139.42,1.9516,9.84,142.06,4.51E-07,407.3333333,0.666666667,1173,67
Sn0.98Ti0.02,Ca1F2,139.42,1.9516,9.84,142.06,4.51E-07,407.3333333,0.666666667,1273,34
Sn0.98Ti0.02,Ca1F2,139.42,1.9516,9.84,142.06,4.51E-07,407.3333333,0.666666667,1373,92
Cu0.637Ti0.363,Mg1F2,142.164,1.76932,7.096,213.747,8.18E-06,343.3333333,0.666666667,1423,118
Ni0.752Hf0.248,Mg1F2,136.648,1.75872,6.512,217.312,0.447736814,343.3333333,0.666666667,1423,120
Cu0.737Hf0.263,Ba1F2,143.309,1.7422,7.896,216.847,0,369,0.666666667,1473,110
Cu0.43Ti0.57,Ca1F2,147.96,1.6948,5.44,207.33,1.28E-05,407.3333333,0.666666667,1423,119
Cu0.455Ti0.482Zr0.063,Ca1F2,148.205,1.69057,5.64,208.105,1.09E-05,407.3333333,0.666666667,1473,132
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1423,132.4
Cu0.992Ti0.008,Al2O3,132.224,1.89712,9.936,224.752,1.80E-07,406.268,3.2,1423,91
Cu0.977Ti0.023,Al2O3,132.644,1.89172,9.816,224.287,5.18E-07,406.268,3.2,1423,51.3
Cu0.969Ti0.031,Al2O3,132.868,1.88884,9.752,224.039,6.99E-07,406.268,3.2,1423,40.7
Cu0.96Ti0.04,Al2O3,133.12,1.8856,9.68,223.76,9.01E-07,406.268,3.2,1423,32.3
Cu0.948Ti0.052,Al2O3,133.456,1.88128,9.584,223.388,1.17E-06,406.268,3.2,1423,27.3
Cu0.937Ti0.063,Al2O3,133.764,1.87732,9.496,223.047,1.42E-06,406.268,3.2,1423,22.8
Cu0.927Ti0.073,Al2O3,134.044,1.87372,9.416,222.737,1.64E-06,406.268,3.2,1423,17.2
Cu0.915Ti0.085,Al2O3,134.38,1.8694,9.32,222.365,1.92E-06,406.268,3.2,1423,13.8
Cu0.908Ti0.092,Al2O3,134.576,1.86688,9.264,222.148,2.07E-06,406.268,3.2,1423,11.6
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,577,141
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,674,136.4
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,777,134.3
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,880,128
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,974,124.9
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,1080,119.2
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,1178,115.3
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,1278,114.4
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,1378,109.5
In,Mg1F2,142,1.78,10,139,0,343.3333333,0.666666667,473,148.3
In,Mg1F2,142,1.78,10,139,0,343.3333333,0.666666667,573,144.1
In,Mg1F2,142,1.78,10,139,0,343.3333333,0.666666667,673,143.4
In,Mg1F2,142,1.78,10,139,0,343.3333333,0.666666667,773,139.4
In,Mg1F2,142,1.78,10,139,0,343.3333333,0.666666667,873,130.1
In,Mg1F2,142,1.78,10,139,0,343.3333333,0.666666667,973,127.3
In,Mg1F2,142,1.78,10,139,0,343.3333333,0.666666667,1073,122.5
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,373,131.7
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,473,127.9
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,573,126.8
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,673,123
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,773,120.9
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,873,116.7
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,973,116.2
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,1073,112.2
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,1173,110.3
Al,Mg1F2,121,1.61,0,225,0,343.3333333,0.666666667,973,111.5
Al,Mg1F2,121,1.61,0,225,0,343.3333333,0.666666667,1073,104.2
Al,Mg1F2,121,1.61,0,225,0,343.3333333,0.666666667,1173,103.1
Al,Mg1F2,121,1.61,0,225,0,343.3333333,0.666666667,1273,95.4
Cu,Mg1F2,132,1.9,10,225,0,343.3333333,0.666666667,1373,133.1
Cu,Mg1F2,132,1.9,10,225,0,343.3333333,0.666666667,1433,123.1
Au,Mg1F2,136,2.54,10,225,0,343.3333333,0.666666667,1383,122.5
Ag,Mg1F2,145,1.93,10,225,0,343.3333333,0.666666667,1283,120.7
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,573,144.1
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,673,139.8
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,773,134.6
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,873,132.1
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,973,125.1
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,1073,124
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,1173,117.7
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,1273,115.4
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,1373,109.9
In,Ba1F2,142,1.78,10,139,0,369,0.666666667,473,150.3
In,Ba1F2,142,1.78,10,139,0,369,0.666666667,573,147.1
In,Ba1F2,142,1.78,10,139,0,369,0.666666667,673,144.8
In,Ba1F2,142,1.78,10,139,0,369,0.666666667,773,139.9
In,Ba1F2,142,1.78,10,139,0,369,0.666666667,873,138.1
In,Ba1F2,142,1.78,10,139,0,369,0.666666667,973,132.1
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,373,139.9
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,473,137.6
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,573,134.7
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,673,131
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,773,126.1
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,873,123.3
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,973,120.4
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,1073,118.3
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,1173,115.2
Al,Ba1F2,121,1.61,0,225,0,369,0.666666667,973,117
Al,Ba1F2,121,1.61,0,225,0,369,0.666666667,1073,112.2
Al,Ba1F2,121,1.61,0,225,0,369,0.666666667,1173,105.2
Al,Ba1F2,121,1.61,0,225,0,369,0.666666667,1273,98
Cu,Ba1F2,132,1.9,10,225,0,369,0.666666667,1373,135.6
Cu,Ba1F2,132,1.9,10,225,0,369,0.666666667,1423,130.6
Au,Ba1F2,136,2.54,10,225,0,369,0.666666667,1373,129.6
Ag,Ba1F2,145,1.93,10,225,0,369,0.666666667,1273,129.2
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,573,155
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,673,147.2
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,773,143
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,873,138.9
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,973,136.6
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,1073,130.9
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,1173,126
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,1273,120.9
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,1373,118.9
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,473,158.9
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,573,156.4
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,673,152.3
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,773,146.6
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,873,141.5
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,973,138.8
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,1073,135.8
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,373,147.1
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,473,142
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,573,141.2
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,673,137.2
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,773,135.7
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,873,131.8
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,973,126.9
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,1073,122.8
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,1173,121
Cu,Ca1F2,132,1.9,10,225,0,407.3333333,0.666666667,1373,141.2
Cu,Ca1F2,132,1.9,10,225,0,407.3333333,0.666666667,1433,135.8
Au,Ca1F2,136,2.54,10,225,0,407.3333333,0.666666667,1373,135.8
Ag,Ca1F2,145,1.93,10,225,0,407.3333333,0.666666667,1273,133.5
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1473,85
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1473,77
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1473,73
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1473,68
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,923,125.8
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1023,125
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1123,122
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1223,119.7
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1323,117.7
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1373,99.2
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,923,125.7
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1223,118.1
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1323,116.6
Al0.778Si0.124Mg0.098,Si1O2,121.72,1.61656,0,222.21,0,598.8666667,2.666666667,1373,94.1
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,923,125.7
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1023,122.2
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1123,106.2
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1223,100.1
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1323,96.6
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1373,89.2
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1023,118.2
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1123,101.9
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1223,96.1
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1323,91.1
Al0.724Si0.124Mg0.152,Si1O2,122.8,1.60036,0,220.536,0,598.8666667,2.666666667,1373,85
Fe,Al2O3Si1O2,132,1.83,6,229,2.1106628,478.4925,3,1873,77
Fe,Al2O3Si1O2,132,1.83,6,229,2.1106628,478.4925,3,1823,105
Fe,Al2O3Si1O2,132,1.83,6,229,2.1106628,478.4925,3,1823,79
Ag,Si1O2,145,1.93,10,225,0,598.8666667,2.666666667,1173,96
Ag0.49Cu0.49Ti0.02,Si1O2,138.93,1.9075,9.84,224.38,4.51E-07,598.8666667,2.666666667,1173,12
Ag0.47Cu0.49Ti0.04,Si1O2,139.23,1.8997,9.68,223.76,9.01E-07,598.8666667,2.666666667,1173,10
Ag0.432Cu0.49Ti0.078,Si1O2,139.8,1.88488,9.376,222.582,1.76E-06,598.8666667,2.666666667,1173,10
Ag0.47Cu0.49Ti0.04,Si1O2,139.23,1.8997,9.68,223.76,9.01E-07,598.8666667,2.666666667,1123,10
Ag0.47Cu0.49Ti0.04,Si1O2,139.23,1.8997,9.68,223.76,9.01E-07,598.8666667,2.666666667,1223,10
Cu,Si1O2,132,1.9,10,225,0,598.8666667,2.666666667,1473,117
Cu0.95Al0.05,Si1O2,131.45,1.8855,9.5,225,0,598.8666667,2.666666667,1473,117
Cu0.85Al0.15,Si1O2,130.35,1.8565,8.5,225,0,598.8666667,2.666666667,1473,116
Cu0.7Al0.3,Si1O2,128.7,1.813,7,225,0,598.8666667,2.666666667,1473,114
